INSERT 0 2
            name            | status  |           profile_name           |  database_name   
----------------------------+---------+----------------------------------+------------------
 Admin Finance Full Token   | active  | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Analyst1 Finance Token     | active  | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | active  | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | active  | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | revoked | ONGC Finance DB (PostgreSQL)     | ongc_finance
 Finance Assistant PG Token | active  | ONGC Finance DB (PostgreSQL)     | ongc_finance
 HR Assistant MySQL Token   | active  | ONGC HR DB (MySQL)               | ongc_hr
 ONGC Procurement Token     | active  | ONGC Procurement DB (PostgreSQL) | ongc_procurement
 ONGC Safety Token          | active  | ONGC Safety DB (MySQL)           | ongc_safety
 Test Token                 | revoked | Platform DB (Test)               | vanna_platform
 Test Token                 | active  | Platform DB (Test)               | vanna_platform
 Test Console Token         | revoked | Platform DB (Test)               | vanna_platform
 Test Console Token         | active  | Platform DB (Test)               | vanna_platform
 Test Token                 | revoked | Platform DB (Test)               | vanna_platform
 ONGC Refinery Token        | revoked | ONGC Refinery DB                 | ongc_refinery
 ONGC Refinery Token        | active  | ONGC Refinery DB                 | ongc_refinery
 ONGC Refinery Token        | revoked | ONGC Refinery DB                 | ongc_refinery
 ONGC Refinery Token        | revoked | ONGC Refinery DB                 | ongc_refinery
 ONGC Refinery Token        | revoked | ONGC Refinery DB                 | ongc_refinery
(24 rows)

